Time:2019-09-29 21:00:08,368; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:获取的表格内容：{1: ['1', '特大型餐馆', '1', ''], 2: ['编号20190927205602', '名称20190927205602', '1', ''], 3: ['编号20190926205402', '名称20190926205402', '1', ''], 4: ['编号20190928211137', '名称20190928211137', '1', ''], 5: ['2', '快餐店', '2', ''], 6: ['3', '小吃店', '3', ''], 7: ['4', '饮品店、饮品店（甜品店）', '4', ''], 8: ['5', '食堂', '5', ''], 9: ['6', '集体用餐配送单位', '6', ''], 10: ['7', '中央厨房', '7', ''], 11: ['8', '夜市餐饮服务', '8', ''], 12: ['9', '乡村民俗旅游户', '9', ''], 13: ['编号20190929205951', '名称20190929205951', '1', '']} 
Time:2019-09-29 21:00:08,369; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:1 in {1: ['1', '特大型餐馆', '1', ''], 2: ['编号20190927205602', '名称20190927205602', '1', ''], 3: ['编号20190926205402', '名称20190926205402', '1', ''], 4: ['编号20190928211137', '名称20190928211137', '1', ''], 5: ['2', '快餐店', '2', ''], 6: ['3', '小吃店', '3', ''], 7: ['4', '饮品店、饮品店（甜品店）', '4', ''], 8: ['5', '食堂', '5', ''], 9: ['6', '集体用餐配送单位', '6', ''], 10: ['7', '中央厨房', '7', ''], 11: ['8', '夜市餐饮服务', '8', ''], 12: ['9', '乡村民俗旅游户', '9', ''], 13: ['编号20190929205951', '名称20190929205951', '1', '']} 
Time:2019-09-29 21:00:14,925; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:等待5秒--- 
Time:2019-09-29 21:00:14,966; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:已经存在目录：/root 
Time:2019-09-29 21:00:14,967; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:已经存在目录：/root/PycharmProjects 
Time:2019-09-29 21:00:14,968; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:已经存在目录：/root/PycharmProjects/wanwenyc 
Time:2019-09-29 21:00:14,970; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:已经存在目录：/root/PycharmProjects/wanwenyc/WWTest 
Time:2019-09-29 21:00:14,971; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:已经存在目录：/root/PycharmProjects/wanwenyc/WWTest/myJsonFile 
Time:2019-09-29 21:00:14,973; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:
获取到的cookies类型为;<class 'list'>
 
Time:2019-09-29 21:00:14,974; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:
